"full_name","country_code","role","season","team","mins_played","xG","goals","xA","assists","xT","xT_from_passes","xT_from_carries","won_dribblings","attempted_dribblings","won_dribblings_ratio","offensive_aero"
Stephan El Shaarawy,ITA,WAM,2022,Roma,1520,5.0127919,7,1.773633,2,1.9059789,0.8867924,1.0191865,26,66,0.3939,54.8642
Emmanuel Gyasi,GHA,WAM,2022,Spezia,2834,3.7140467,2,1.6034031,,0.2957651,-0.102819,0.3985841,7,36,0.1944,36.2414
Daniele Verde,ITA,WAM,2022,Spezia,994,2.5138964,3,2.0746614,,0.9061708,0.7651057,0.1410651,6,13,0.4615,
M'Bala Nzola,AGO,FW,2022,Spezia,2653,11.6973079,13,2.8691882,2,0.7677063,-0.3451826,1.1128889,30,69,0.4348,49.4156
Daniel Maldini,ITA,WAM,2022,Spezia,621,1.073344,2,0.511814,,0.0933824,0.0387938,0.0545886,23,41,0.5610,50.8747
David Strelec,SVK,FW,2022,Spezia,163,0.5895489,,0.1281089,,0.0198733,-0.0142138,0.0340871,,3,,54.6764
Mattia Destro,ITA,FW,2022,Empoli,566,1.5739882,1,0.2905495,,-0.0626272,0.0095134,-0.0721406,4,8,0.5000,29.9123
Sam Lammers,NLD,FW,2022,Empoli,883,2.3645726,1,0.3415963,1,-0.250138,-0.2277394,-0.0223986,10,22,0.4545,71.9899
Martín Satriano,URY,FW,2022,Empoli,1710,4.2796868,2,1.5620898,1,0.4834848,0.4730259,0.0104589,19,46,0.4130,43.3455
Nicolò Cambiaghi,ITA,WAM,2022,Empoli,1280,3.5261859,6,1.6033971,1,1.4985195,0.611863,0.8866565,22,42,0.5238,25.9451
Emmanuel Ekong,SWE,FW,2022,Empoli,18,0.0194736,,0.0002706,,0.0156685,-0.0076765,0.023345,,1,,
Thomas Henry,FRA,FW,2022,Verona,1035,1.9185238,2,0.7156796,,0.0143635,0.2009573,-0.1865938,3,14,0.2143,67.2089
Kevin Lasagna,ITA,FW,2022,Verona,1575,4.9417908,1,0.4119129,2,0.6790843,0.1680224,0.5110619,13,31,0.4194,35.3424
Milan Djuric,BIH,FW,2022,Verona,1364,1.5234755,1,0.9508152,1,0.2682733,0.1153986,0.1528747,3,6,0.5000,83.7027
Roberto Piccoli,ITA,FW,2022,Verona,189,0.2558526,,0.0051626,,0.0801199,0.0088205,0.0712994,1,3,0.3333,44.4042
Victor Osimhen,NGA,FW,2022,Napoli,2583,24.4694362,26,2.3374988,4,-0.1401495,-0.6967056,0.5565561,26,61,0.4262,68.267
Hirving Lozano,MEX,WAM,2022,Napoli,1610,5.290395,3,3.6585878,3,1.7199951,0.9301175,0.7898776,38,69,0.5507,47.5578
Khvicha Kvaratskhelia,GEO,WAM,2022,Napoli,2539,8.390965,12,7.1581061,10,4.3883342,1.9700496,2.4182846,75,182,0.4121,50.2509
Adam Ounas,DZA,WAM,2022,Napoli,13,0.0426,,0.0139684,,0.0592896,0.0367345,0.0225551,2,2,1.0000,
Eljif Elmas,MKD,WAM,2022,Napoli,1615,4.4291931,6,2.3769088,3,1.3615615,0.4689771,0.8925844,23,45,0.5111,31.2072
Alessio Zerbin,ITA,WAM,2022,Napoli,192,0.2465243,,0.1223513,,0.2450471,0.1157507,0.1292964,2,5,0.4000,37.3881
Matteo Politano,ITA,WAM,2022,Napoli,1166,4.3385404,3,2.731924,3,1.7230749,0.984871,0.7382039,23,48,0.4792,39.6307
Dusan Vlahovic,SRB,FW,2022,Juventus,1929,9.8517014,10,1.1088561,2,0.9117792,-0.1469386,1.0587178,14,32,0.4375,49.2179
Ángel Di María,ARG,WAM,2022,Juventus,1362,3.0325039,4,3.9934835,4,2.6173796,1.7620944,0.8552852,32,73,0.4384,47.5322
Matías Soulé,ARG,WAM,2022,Juventus,415,1.3123899,1,0.3878407,,0.2399821,0.0138262,0.2261559,12,23,0.5217,38.9425
Grégoire Defrel,FRA,FW,2022,Sassuolo,1166,3.8302525,2,0.2456635,1,-0.4438523,-0.2965749,-0.1472774,7,21,0.3333,31.7594
Domenico Berardi,ITA,WAM,2022,Sassuolo,1872,11.3299851,12,6.2019357,7,3.6008438,2.6527261,0.9481177,22,42,0.5238,39.6553
Luca D'Andrea,ITA,WAM,2022,Sassuolo,321,0.3331777,,0.50225,1,0.4349856,0.210517,0.2244686,4,10,0.4000,48.0082
Emil Ceïde,NOR,WAM,2022,Sassuolo,502,1.0016332,,1.0232634,1,1.0746269,0.6246915,0.4499354,8,22,0.3636,54.7078
Andrea Pinamonti,ITA,FW,2022,Sassuolo,2173,6.1514941,5,1.8095653,,-0.1197286,-0.1030525,-0.0166761,10,27,0.3704,40.6899
Giacomo Raspadori,ITA,FW,2022,Sassuolo,45,0.0,,0.0037913,,-0.0431898,-0.017381,-0.0258088,,,,
Agustín Álvarez,URY,FW,2022,Sassuolo,351,1.559091,1,0.3180938,1,0.2716131,-0.0959274,0.3675405,7,15,0.4667,45.3691
Boulaye Dia,SEN,FW,2022,Salernitana,2527,8.5225543,16,2.2664593,6,1.5658525,0.5029057,1.0629468,35,74,0.4730,37.3437
Pedro,ESP,WAM,2022,Lazio,1893,2.7395704,4,2.1622788,3,1.4899298,0.5341299,0.9557999,31,58,0.5345,34.3209
Leandro Sanca,GNB,WAM,2022,Spezia,28,0.0,,0.0067771,,-0.0001786,0.0026107,-0.0027893,3,5,0.6000,50.0
Giacomo Raspadori,ITA,FW,2022,Napoli,899,3.8062118,2,1.2888997,2,0.2984112,0.2552685,0.0431427,8,18,0.4444,40.9348
Giovanni Simeone,ARG,FW,2022,Napoli,386,1.4594962,4,0.2804124,1,0.1970145,0.0085787,0.1884358,7,12,0.5833,31.3296
Moise Kean,ITA,FW,2022,Juventus,989,6.4076375,6,0.7257098,,0.6043625,0.0593258,0.5450367,15,38,0.3947,56.9311
Arkadiusz Milik,POL,FW,2022,Juventus,1581,6.9277124,7,1.036739,1,-0.159705,-0.4094401,0.2497351,11,20,0.5500,48.427
Rasmus Højlund,DNK,FW,2022,Atalanta,1833,9.6696486,9,2.0718106,2,0.754815,0.0220455,0.7327695,29,59,0.4915,49.9327
Andrea Belotti,ITA,FW,2022,Roma,1133,4.2620755,,0.8585199,2,0.1393517,-0.2384188,0.3777705,7,26,0.2692,61.3693
Felix Afena-Gyan,GHA,FW,2022,Cremonese,805,1.499503,,0.2373356,,-0.3874361,-0.3024269,-0.0850092,7,19,0.3684,33.039
Joshua Zirkzee,NLD,FW,2022,Bologna,808,3.4672583,2,0.7384337,2,0.4542833,0.0852463,0.369037,16,35,0.4571,43.5845
Armand Laurienté,FRA,WAM,2022,Sassuolo,2191,4.5110395,7,4.6164409,6,3.7694633,2.0682115,1.7012518,64,123,0.5203,
Janis Antiste,FRA,FW,2022,Sassuolo,50,0.122178,1,0.007676,,-0.0074112,-0.0079834,0.0005722,,1,,44.7166
Ignacio Pussetto,ARG,FW,2022,Sampdoria,150,0.1499206,,0.1238125,,0.032908,-0.0090706,0.0419786,1,3,0.3333,53.1685
Vivaldo Semedo,PRT,FW,2022,Udinese,30,0.0463008,,0.0093514,,0.0059514,0.0074408,-0.0014894,,,,50.0
Krzysztof Piatek,POL,FW,2022,Salernitana,2144,7.5486335,4,0.986518,5,0.2711502,-0.4363825,0.7075327,10,20,0.5000,52.3649
Remi Oudin,FRA,WAM,2022,Lecce,1315,1.5836789,3,1.8694399,,0.7571975,0.533606,0.2235915,10,20,0.5000,55.0762
Yann Karamoh,FRA,WAM,2022,Torino,707,3.2061503,4,0.5277278,,0.1670749,-0.1328122,0.2998871,26,51,0.5098,30.8907
Marko Lazetic,SRB,FW,2022,Milan,7,0.0510405,,0.0000619,,0.0004429,0.0004429,0.0,,,,50.0
Hamed Traorè,CIV,WAM,2022,Sassuolo,592,0.8496966,,0.97555,3,0.4120867,0.2212193,0.1908674,4,13,0.3077,40.7181
Daniele Montevago,ITA,FW,2022,Sampdoria,227,0.5552168,,0.4135547,,0.0275887,-0.0518393,0.079428,,4,,46.7177
Federico Chiesa,ITA,WAM,2022,Juventus,843,1.5238131,2,1.9378199,5,1.4055574,0.7841129,0.6214445,24,43,0.5581,25.226
Sam Lammers,NLD,FW,2022,Sampdoria,1101,2.2077019,1,0.6801392,1,0.3762755,0.0977748,0.2785007,14,27,0.5185,66.4856
Jordan Majchrzak,POL,FW,2022,Roma,13,0.0,,0.0025385,,0.0078825,0.0078825,0.0,,,,51.3097
Francesco Caputo,ITA,FW,2022,Empoli,1718,7.3712664,5,1.0263497,4,0.045406,0.1294225,-0.0840165,1,9,0.1111,43.0452
Cyril Ngonge,BEL,WAM,2022,Verona,747,2.0416751,3,0.8374775,1,0.4637786,0.0798743,0.3839043,12,32,0.3750,45.04
Raimonds Krollis,LVA,FW,2022,Spezia,32,0.1023161,,0.037531,,0.0818713,0.0464905,0.0353808,,1,,48.3317
Tio Cipot,SVN,WAM,2022,Spezia,132,0.0320485,,0.1214069,,-0.0577854,-0.0583671,0.0005817,3,7,0.4286,46.578
Herculano Nabian,PRT,FW,2022,Empoli,1,0.0,,0.0,,0.0020866,0.0,0.0020866,,1,,
Emanuel Vignato,ITA,WAM,2022,Empoli,52,0.1025976,1,0.115984,1,0.1291795,0.1251834,0.0039961,1,1,1.0000,44.2621
Roberto Piccoli,ITA,FW,2022,Empoli,515,1.6834958,2,0.1557374,,-0.076531,-0.0173101,-0.0592209,8,18,0.4444,45.2424
Eldor Shomurodov,UZB,FW,2022,Spezia,805,1.508343,1,0.9796888,1,0.4261935,0.1536201,0.2725734,8,21,0.3810,47.612
Florian Thauvin,FRA,WAM,2022,Udinese,542,0.4476564,,1.2374019,,0.7474228,0.4907627,0.2566601,10,31,0.3226,57.5115
Josip Brekalo,HRV,WAM,2022,Fiorentina,227,0.5140347,,0.6077455,,0.4048397,0.2656969,0.1391428,6,8,0.7500,42.0748
